#{"t_start": 1719057678.082829, "env_id": "LunarLander-v2"}
r,l,t
79.143158,1000,155.88306
203.017343,569,155.998204
142.264452,588,156.588897
90.138712,679,156.728145
-46.480532,412,156.810239
-84.55693,455,156.901607
87.762009,1000,157.638541
123.887166,1000,157.848946
-76.411723,521,158.467724
209.598973,966,158.6704
104.522859,1000,159.291758
-118.723292,384,159.370975
176.661764,510,159.477113
-85.68679,480,159.572184
111.882999,1000,160.263446
35.255379,1000,160.471844
40.814039,1000,161.166896
-85.103696,463,161.258825
85.454093,1000,161.465533
96.372315,1000,162.103183
108.81411,1000,162.308213
-157.507364,659,162.943012
-102.139948,523,163.048079
111.550941,1000,163.252798
98.516448,1000,163.891605
-82.136062,383,163.967799
143.2304,554,164.077758
116.570407,1000,164.714189
161.371143,549,164.82356
-42.602116,490,164.91907
108.994833,1000,165.56857
-138.660631,446,165.657182
170.624651,975,166.32365
87.286503,1000,166.533977
107.658636,632,166.660299
135.950267,581,167.19295
170.122149,412,167.277259
207.402048,649,167.410808
-119.28464,496,167.509262
113.97195,679,168.069855
210.988847,568,168.183842
103.316763,791,168.339697
-60.209517,460,168.886669
-60.783694,343,168.95668
-124.446053,526,169.061763
65.084213,1000,169.701817
-113.780265,686,169.84296
140.031614,573,169.959398
51.257271,1000,170.589489
-88.492116,477,170.68591
-111.406511,543,170.794484
-36.634911,523,170.896707
210.983869,598,171.498176
187.31937,608,171.622835
109.284185,618,171.749562
160.694593,426,171.836061
111.603053,668,172.421715
-24.745619,319,172.487961
192.891533,618,172.610836
207.208638,554,173.157053
-40.297222,421,173.242718
217.464489,489,173.341502
127.841395,613,173.465496
178.822146,629,174.112977
67.016345,1000,174.320639
180.890826,610,174.442049
140.622139,614,175.104659
-67.140427,362,175.177969
-79.888035,387,175.256104
-112.147414,437,175.341049
154.851673,633,175.942898
-44.450858,560,176.056477
168.933937,596,176.177008
68.004115,1000,176.840335
40.606108,1000,177.051849
214.851724,577,177.165918
121.511796,840,177.771068
