#{"t_start": 1719057381.053993, "env_id": "LunarLander-v2"}
r,l,t
-81.663204,1000,33.020909
-124.36524,1000,33.301448
-126.091958,1000,33.65173
-84.896999,1000,33.930872
-96.742959,1000,34.219941
-120.899768,1000,34.526973
-88.299395,1000,34.85191
-166.39585,1000,35.130984
-28.997809,1000,35.402919
-93.926142,1000,35.698887
-96.015256,1000,35.994507
-44.53335,1000,36.284042
-93.753517,1000,36.577075
-107.671465,1000,36.852015
-107.490853,1000,37.134555
-105.885934,1000,37.447872
-149.295022,1000,37.729582
-169.543398,1000,38.010349
-96.700932,1000,38.299589
-59.529592,1000,38.600692
-114.298469,1000,38.892377
-133.083326,1000,39.181391
-123.440107,1000,39.476554
-118.719765,1000,39.752617
-130.615613,1000,40.050732
-102.531823,1000,40.345003
-71.480017,1000,40.63313
-58.798095,1000,40.918883
-100.943342,1000,41.201277
-127.421466,1000,41.504578
-63.074457,1000,41.783564
-102.805702,1000,42.074097
-68.102876,1000,42.345836
-104.269008,1000,42.641377
-128.987395,1000,42.91839
-137.170421,1000,43.204868
-118.447252,1000,43.477121
-125.450462,1000,43.75306
-82.134403,1000,44.03198
-95.240843,1000,44.323255
-130.172582,1000,44.626634
-106.356748,1000,44.906137
-96.909325,1000,45.185907
-88.921561,1000,45.478134
-130.798874,1000,45.75642
-70.636143,1000,46.025649
-132.450306,1000,46.305787
-135.262607,1000,46.606798
-113.075047,1000,46.883581
-120.120638,1000,47.165894
-77.923384,1000,47.450974
-74.743498,1000,47.729354
-89.123191,1000,48.007978
-143.471503,1000,48.288645
-89.461765,1000,48.594687
-89.740629,1000,48.879102
-147.670693,1000,49.154126
-143.03996,1000,49.451435
-88.927411,1000,49.732415
-119.49723,1000,50.053298
-68.122927,1000,50.345218
-22.71567,1000,50.626117
-133.149316,1000,50.891514
-99.989549,1000,51.159189
-157.917653,1000,51.445489
-48.966608,1000,51.716956
-16.139018,1000,51.992193
-61.648605,1000,52.274631
-83.994012,1000,52.567001
-38.492731,1000,52.845058
-107.456012,1000,53.121668
-134.278485,1000,53.410995
-92.393444,1000,53.686735
-38.945901,1000,53.974013
-124.084845,1000,54.265201
-153.689513,1000,54.559682
-22.538994,1000,54.835168
-127.332532,1000,55.136331
-118.306313,1000,55.438143
-74.901286,1000,55.719471
-88.537092,1000,55.993561
-106.184288,1000,56.261188
-79.217274,1000,56.543622
-116.623949,1000,56.820017
-89.702872,1000,57.10575
-94.100902,1000,57.403109
-86.711012,1000,57.682979
-82.016914,1000,57.96241
-80.367061,1000,58.240063
-89.914331,1000,58.526272
-36.947584,1000,58.810347
-101.403483,1000,59.097278
-95.753349,1000,59.367373
-23.955968,1000,59.663301
-70.276382,1000,59.944024
-108.116931,1000,60.237133
-77.600069,1000,60.531287
-67.985602,1000,60.80917
-72.996162,1000,61.105709
-101.698028,1000,61.393093
-139.951715,1000,61.680477
-89.45948,1000,61.958463
-32.381475,1000,62.239022
-66.706136,1000,62.53318
-110.488751,1000,62.805453
-17.211444,1000,63.090532
-61.634622,1000,63.387157
-104.436976,1000,63.662796
-96.532632,1000,63.936325
-55.09116,1000,64.217629
-91.355467,1000,64.51524
-40.528643,1000,64.795377
-28.409731,1000,65.076376
-3.488401,1000,65.347694
-152.519277,1000,65.640584
-60.222922,1000,65.923942
-76.47678,1000,66.196752
-33.332252,1000,66.487145
-57.740181,1000,66.762271
-73.49957,1000,67.068906
-79.48041,1000,67.350339
-72.44127,1000,67.630017
-50.449958,1000,67.90422
-53.588448,1000,68.202136
-71.629757,1000,68.492899
-127.008976,1000,68.765386
-38.372171,1000,69.05479
-42.325374,1000,69.330653
